,accommodates,price,minimum_nights,maximum_nights,minimum_maximum_nights,availability_30,number_of_reviews,number_of_reviews_ltm,review_scores_rating,calculated_host_listings_count,calculated_host_listings_count_private_rooms,days_since_last_review,days_since_first_review,days_since_host_since,room_type,host_response_rate,bathrooms,host_is_superhost,host_identity_verified,instant_bookable,Entire rental unit,Price/square ,EMPORIKO TRIGONO-PLAKA,jumio,work_email,Shampoo,Heating,Hot water,TV,Coffee maker,Dedicated workspace,Bed linens,Washer,Elevator,Fire extinguisher,First aid kit,Free street parking,Extra pillows and blankets,Patio or balcony,Smoke alarm,Microwave,Shower gel,Luggage dropoff allowed,Private entrance,Host greets you,Lockbox,Room-darkening shades,Hot water kettle,Crib,Paid parking off premises,Body soap,Dryer,Baking sheet,Ethernet connection,Dishwasher,Outdoor furniture,High chair,Pack ’n play/Travel crib,Cable TV,Single level home,Bathtub
35,4,80.0,2,4,4,29,31,0,4.04,1,0,1110,1928,3490,0,5,1 ,0.0,0.0,0,1,1900,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,3,60.0,7,90,1125,30,24,0,4.94,1,0,1659,1576,3475,0,5,1 ,0.0,0.0,0,1,1100,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,5,55.0,7,120,1125,4,67,3,4.85,1,0,765,2676,3470,0,5,1 ,1.0,1.0,1,1,1250,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0
39,4,138.0,2,1125,1125,17,60,1,4.75,13,0,619,3035,3462,0,5,1 ,0.0,1.0,1,1,1950,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
40,4,81.0,1000,1125,1125,0,16,0,4.87,13,0,1817,3151,3462,0,5,1 ,0.0,1.0,1,1,1950,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,4,50.0,1,1125,1125,0,248,1,4.75,5,0,1138,3082,3528,0,5,1 ,1.0,1.0,1,1,2380,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
43,4,23.0,5,120,120,1,52,2,4.88,1,0,1241,3311,3897,0,3,1 ,0.0,1.0,0,1,1600,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1
44,5,125.0,1,1125,1125,19,255,23,4.91,2,0,20,2631,3452,0,5,1 ,1.0,1.0,1,0,2380,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
45,3,50.0,7,90,90,8,11,1,5.0,1,0,1150,1273,3442,0,5,1 ,0.0,0.0,0,1,1400,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,4,57.0,2,1125,1125,17,8,2,4.63,40,0,9,2730,3630,0,5,1 ,1.0,1.0,0,1,1100,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0
